คดีแดง,โจทก์,จำเลย,ศาล,ประเภททรัพย์,โฉนดเลขที่,ประเภทเอกสารสิทธิ์,บ้านเลขที่,ตำบล,อำเภอ,จังหวัด,เนื้อที่,เจ้าของ,เงินหลักประกัน (บาท),ราคาประเมิน (บาท),นัดที่ 1 วันที่,นัดที่ 1 สถานะ,นัดที่ 2 วันที่,นัดที่ 2 สถานะ,นัดที่ 3 วันที่,นัดที่ 3 สถานะ,นัดที่ 4 วันที่,นัดที่ 4 สถานะ,นัดที่ 5 วันที่,นัดที่ 5 สถานะ,นัดที่ 6 วันที่,นัดที่ 6 สถานะ,วันที่ตรวจสอบ,ลิงก์รูปภาพ,ลิงก์แผนที่,โทรศัพท์สำนักงาน,รหัสทรัพย์ (auc_asset_gen)
615 / 2559,นายสมชาย มหาธนากุล,นางสาวณัฐฑนันท์ กาญจ์ณรงค์,จังหวัดพล,ที่ดินว่างเปล่า,60458,โฉนดเลขที่,-,-,-,-,0 ไร่ 1 งาน 85 ตร.วา,นางสาวณัฐฑนันท์ กาญจ์ณรงค์,25000,407000,28/01/2569,-,18/02/2569,-,11/03/2569,-,01/04/2569,-,22/04/2569,-,12/05/2569,-,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/60458p.jpg,,"(034)427018,836976",1907834
3006 / 2555,พนักงานอัยการ สำนักงานอัยการสูงสุด,นายพิชัย สามสี,จังหวัดพระโขนง,ที่ดินว่างเปล่า,60428,โฉนดเลขที่,-,-,-,-,0 ไร่ 1 งาน 88 ตร.วา,นายดิเรก นามมีชัย  นายประกัน,25000,376000,28/01/2569,เลื่อนนัด,18/02/2569,งดขายไม่มีผู้สู้ราคา,11/03/2569,งดขายไม่มีผู้สู้ราคา,01/04/2569,-,22/04/2569,-,12/05/2569,-,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/60428p.jpg,,"(034)427018,836976",1927777
ผบE.523 / 2565,บริษัท  โอริโค่ ออโต้ ลีสซิ่ง (ประเทศไทย)  จำกัด,"นางสาวศิริรัตน์ เซ่งสมหวัง  ที่ 1,  นางสาวจิราภา เกษเกษม  ที่ 2",จังหวัดสมุทรสาคร,ห้องชุด,"112365,112368",โฉนดเลขที่,126/15,-,-,-,0 ไร่ 0 งาน 32.2 ตร.วา,นางสาวจิราภา เกษเกษม,25000,418600,28/01/2569,งดขายไม่มีผู้สู้ราคา,18/02/2569,งดขายไม่มีผู้สู้ราคา,11/03/2569,งดขายไม่มีผู้สู้ราคา,01/04/2569,-,22/04/2569,-,12/05/2569,-,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/c126-15p.jpg,,"(034)427018,836976",1904378
ผบE.2393 / 2566,บริษัทบริหารสินทรัพย์คาร์ด เอกซ์  จำกัด,นางสาวนุสรา ประทุมทอง,จังหวัดสมุทรสาคร,ที่ดินพร้อมสิ่งปลูกสร้าง,144381,โฉนดเลขที่,118/158,ตำบลท่าทราย,อำเภอเมืองสมุทรสาคร,สมุทรสาคร,0 ไร่ 0 งาน 21.4 ตร.วา,นางสาวนุสรา ประทุมทอง  กับพวก,30000,1541105.6,28/01/2569,6,18/02/2569,6,11/03/2569,6,01/04/2569,6,22/04/2569,6,12/05/2569,6,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/144381p.jpg,,"(034)427018,836976",1926043
ผบE.442 / 2563,ธนาคารทิสโก้  จำกัด  (มหาชน),"นายสัญญา เชื้อไทย  ที่ 1,  นายอาชัญ แก้วมณี  ที่ 2",จังหวัดฝาง,ห้องชุด,14736,โฉนดเลขที่,104/118,-,-,-,0 ไร่ 0 งาน 32.4 ตร.วา,นายอาชัญ แก้วมณี,25000,213840,28/01/2569,งดขายไม่มีผู้สู้ราคา,18/02/2569,งดขายไม่มีผู้สู้ราคา,11/03/2569,งดขายไม่มีผู้สู้ราคา,01/04/2569,-,22/04/2569,-,12/05/2569,-,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/c104-118p.jpg,,"(034)427018,836976",1927372
ผบ.3847 / 2560,บริษัท  บัตรกรุงไทย  จำกัด  (มหาชน),นางสาวรินปวีร์  โรจน์ปัณณสิริหรือนางสาวพิชญา  ลาภประเสริฐพร,แขวงธนบุรี,ที่ดินว่างเปล่า,61203,ตามสำเนาโฉนดเลขที่,-,-,-,-,0 ไร่ 1 งาน 50 ตร.วา,นางสาวพิชญา ลาภประเสริฐพร,25000,330000,28/01/2569,เลื่อนนัด,18/02/2569,งดขายไม่มีผู้สู้ราคา,11/03/2569,งดขายไม่มีผู้สู้ราคา,01/04/2569,-,22/04/2569,-,12/05/2569,-,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/61203p.jpg,,"(034)427018,836976",1927324
ผบE.1531 / 2565,บริษัท  โตโยต้า ลีสซิ่ง (ประเทศไทย)  จำกัด,"นายพีระพงษ์ ทานรัมย์  ที่ 1,  นายทับ เหลือชีพ  ที่ 2",จังหวัดสมุทรสาคร,ที่ดินพร้อมสิ่งปลูกสร้าง,160813,โฉนดเลขที่,181/144,ตำบลพันท้ายนรสิงห์,อำเภอเมืองสมุทรสาคร,สมุทรสาคร,0 ไร่ 0 งาน 17.8 ตร.วา,นายพีระพงษ์ ทานรัมย์  ที่ 1  กับพวก,30000,1089077.33,28/01/2569,งดขายไม่มีผู้สู้ราคา,18/02/2569,งดขายไม่มีผู้สู้ราคา,11/03/2569,งดขายไม่มีผู้สู้ราคา,01/04/2569,-,22/04/2569,-,12/05/2569,-,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/160813p.jpg,,"(034)427018,836976",1927295
ผบE.2408 / 2567,บริษัท  บัตรกรุงไทย  จำกัด  (มหาชน),นางนิตยา ยศผักแว่น,จังหวัดสมุทรสาคร,ห้องชุด,"47202,66883 ,66886,66887,66888",โฉนดเลขที่,410/17,-,-,-,0 ไร่ 0 งาน 34.49 ตร.วา,นางนิตยา ยศผักแว่น,30000,413880,28/01/2569,งดขายไม่มีผู้สู้ราคา,18/02/2569,งดขายไม่มีผู้สู้ราคา,11/03/2569,งดขายไม่มีผู้สู้ราคา,01/04/2569,-,22/04/2569,-,12/05/2569,-,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/c410-17p.jpg,,"(034)427018,836976",1927366
ผบ.1549 / 2562,บริษัท  เจริญยนต์เลามั่นคงธุรกิจ  จำกัด,ห้างหุ้นส่วนจำกัด เพชรหลวง ก่อสร้าง  ที่ 1  กับพวก,จังหวัดสมุทรสาคร,ที่ดินว่างเปล่า,17845,โฉนดเลขที่,-,-,-,-,0 ไร่ 0 งาน 40 ตร.วา,นายนิรันดร์ ป้อมน้อย,30000,400000,28/01/2569,งดขายไม่มีผู้สู้ราคา,18/02/2569,งดขายไม่มีผู้สู้ราคา,11/03/2569,งดขายไม่มีผู้สู้ราคา,01/04/2569,-,22/04/2569,-,12/05/2569,-,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/17845p.jpg,,"(034)427018,836976",1927349
มยE.1 / 2566,นางสาวดวงพร เบญจสุตะณรงค์,นางสาวจารุวรรณ ศรพระอินทร์,จังหวัดสมุทรสาคร,ที่ดินพร้อมสิ่งปลูกสร้าง,79559,โฉนดเลขที่,172/55,ตำบลสวนหลวง,อำเภอกระทุ่มแบน,สมุทรสาคร,0 ไร่ 0 งาน 66 ตร.วา,นางสาวจารุวรรณ ศรพระอินทร์,30000,3207210.63,28/01/2569,10,18/02/2569,10,11/03/2569,10,01/04/2569,10,22/04/2569,10,12/05/2569,10,29/11/2568,https://asset.led.go.th/PPKPicture/2568/11-2568/03/79559p.jpg,,"(034)427018,836976",1911215
